com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
22339,4,0,35,2022-05-21 10:49:00.000,,,2022-05-21 10:49:31.123,2022-05-21 10:49:29.364,35,1.2202466,27.259998,1.73,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 10:50:00.000,02a4a78a-c8e0-452c-acfb-bb15b87a168b,
22485,4,0,38,2022-05-21 10:38:00.000,,,2022-05-21 10:38:46.096,2022-05-21 10:38:07.034,38,1.2665921,28.48,1.5699999,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 10:39:00.000,3d62cfd7-e0ad-4874-8af7-3b40f397acf6,
12912,4,0,22,2022-05-21 10:44:00.000,,,2022-05-21 10:44:42.670,2022-05-21 10:44:42.670,22,1.25,16.14,1.1,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 10:45:00.000,d4d88200-bce8-438f-b449-a86c9be00d7b,
9666,4,0,15,2022-05-21 10:51:00.000,,,2022-05-21 10:51:10.069,2022-05-21 10:51:08.371,15,1.1369749,10.99,0.58000004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 10:52:00.000,c47c62b2-6fda-4406-9da8-178f907161c7,
21255,4,0,36,2022-05-21 10:53:00.000,,,2022-05-21 10:53:57.646,2022-05-21 10:53:12.639,36,1.2730932,27.06004,1.469939,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 10:54:00.000,15ef0e15-da8b-4a01-a9ef-73ce006b5120,
4569,4,0,8,2022-05-21 11:06:00.000,,,2022-05-21 11:07:19.092,2022-05-21 11:07:19.092,8,1.3611109,6.22,0.32,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 11:07:00.000,8fe57529-3743-46d0-8cbd-224b54db578e,
27014,4,0,49,2022-05-21 13:49:00.000,,,2022-05-21 13:52:27.180,2022-05-21 13:52:27.180,49,1.3888888,37.52,2.01,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 13:50:00.000,5ecb57e8-79ec-4e43-af77-212436df3105,
5090,4,0,8,2022-05-21 14:04:00.000,,,2022-05-21 14:11:47.632,2022-05-21 14:11:47.632,8,1.1944444,6.08,0.34,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 14:05:00.000,936acbee-703a-419b-bfaa-c0ba8c01ebe0,
6923,4,0,11,2022-05-21 14:22:00.000,,,2022-05-21 14:24:37.717,2022-05-21 14:24:37.717,11,1.1944444,8.27,0.46,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 14:23:00.000,6de835df-7f56-4635-8519-a46a97728332,
16432,4,0,27,2022-05-21 16:00:00.000,,,2022-05-21 16:09:35.898,2022-05-21 16:09:35.898,27,1.25,20.54,1.11,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 16:01:00.000,42262fd6-3992-4933-ae0d-5bea8c5c9781,
