com.samsung.shealth.tracker.pedometer_day_summary,6212007,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1379,9c4e1553-112b-4718-8741-3583dc5570e9.binning_data.json,827275,6000,0,2022-04-16 22:00:02.579,com.sec.android.app.shealth,2022-04-16 22:00:02.579,,1.2636303,1045.3699,56.689995,1379,3JD7PDJoKB,com.sec.android.app.shealth,0,9c4e1553-112b-4718-8741-3583dc5570e9.achievement.json,9c4e1553-112b-4718-8741-3583dc5570e9,1650067200000,
7260,dc14508c-e4ae-43d6-af48-a9fa3fe44aa5.binning_data.json,3644895,6000,1142,2022-04-16 22:00:09.384,com.sec.android.app.shealth,2022-04-15 22:00:03.019,,1.6026696,5841.563,349.27927,6118,SumqgnI0Fz,com.sec.android.app.shealth,0,dc14508c-e4ae-43d6-af48-a9fa3fe44aa5.achievement.json,dc14508c-e4ae-43d6-af48-a9fa3fe44aa5,1649980800000,
6635,ddbe5c96-2ace-4d4e-b673-0d893949adc2.binning_data.json,3474038,6000,596,2022-04-15 22:00:01.655,com.sec.android.app.shealth,2022-04-15 22:00:01.655,,1.574611,5470.26,306.28998,6039,3JD7PDJoKB,com.sec.android.app.shealth,0,ddbe5c96-2ace-4d4e-b673-0d893949adc2.achievement.json,ddbe5c96-2ace-4d4e-b673-0d893949adc2,1649980800000,
1080,11f26152-19ee-4473-a90a-3ade31a948c6.binning_data.json,604306,6000,7,2022-04-17 22:00:07.528,com.sec.android.app.shealth,2022-04-16 22:00:09.071,,1.3584827,820.9401,44.591747,1073,SumqgnI0Fz,com.sec.android.app.shealth,0,11f26152-19ee-4473-a90a-3ade31a948c6.achievement.json,11f26152-19ee-4473-a90a-3ade31a948c6,1650067200000,
10893,93588166-8909-44eb-980b-e2301640c82e.binning_data.json,6340914,6000,12,2022-04-18 22:00:03.200,com.sec.android.app.shealth,2022-04-18 22:00:03.200,,1.3104448,8309.42,444.38,10881,3JD7PDJoKB,com.sec.android.app.shealth,0,93588166-8909-44eb-980b-e2301640c82e.achievement.json,93588166-8909-44eb-980b-e2301640c82e,1650240000000,
11497,7cadbbfa-95a9-4125-8182-c3c532aa1d42.binning_data.json,6551131,6000,20,2022-04-12 23:13:51.203,com.sec.android.app.shealth,2022-04-12 05:46:15.724,7cadbbfa-95a9-4125-8182-c3c532aa1d42.source_info.json,1.3387096,8770.0625,472.01135,11477,VfS0qUERdZ,com.sec.android.app.shealth,0,7cadbbfa-95a9-4125-8182-c3c532aa1d42.achievement.json,7cadbbfa-95a9-4125-8182-c3c532aa1d42,1649721600000,
14103,4dc26fd3-f35b-4b16-bb07-11ce56581820.binning_data.json,7486951,6000,1291,2022-04-12 06:26:15.700,com.sec.android.app.shealth,2022-04-11 05:01:49.789,4dc26fd3-f35b-4b16-bb07-11ce56581820.source_info.json,1.533792,11483.426,655.78876,12812,VfS0qUERdZ,com.sec.android.app.shealth,0,4dc26fd3-f35b-4b16-bb07-11ce56581820.achievement.json,4dc26fd3-f35b-4b16-bb07-11ce56581820,1649635200000,
16866,1d018406-072b-4de9-ba89-4de4e378732c.binning_data.json,9164355,6000,1103,2022-04-20 22:00:01.058,com.sec.android.app.shealth,2022-04-20 22:00:01.058,,1.4829901,13590.649,756.99994,15763,3JD7PDJoKB,com.sec.android.app.shealth,0,1d018406-072b-4de9-ba89-4de4e378732c.achievement.json,1d018406-072b-4de9-ba89-4de4e378732c,1650412800000,
2559,dfb244fb-3635-47f9-b76e-b3e0c56fca3f.binning_data.json,1457310,6000,52,2022-04-18 22:00:04.329,com.sec.android.app.shealth,2022-04-17 22:00:07.492,,1.338048,1949.9517,109.08367,2507,SumqgnI0Fz,com.sec.android.app.shealth,0,dfb244fb-3635-47f9-b76e-b3e0c56fca3f.achievement.json,dfb244fb-3635-47f9-b76e-b3e0c56fca3f,1650153600000,
12551,50fa3d7b-19c2-4728-b463-c2a60189b3da.binning_data.json,7147819,6000,19,2022-04-18 22:00:04.373,com.sec.android.app.shealth,2022-04-18 22:00:04.373,,1.3355219,9546.069,517.57715,12532,SumqgnI0Fz,com.sec.android.app.shealth,0,50fa3d7b-19c2-4728-b463-c2a60189b3da.achievement.json,50fa3d7b-19c2-4728-b463-c2a60189b3da,1650240000000,
