com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
,0.0,0.0,0.0,,"359 kcal, per 100g",,fatsecret-1386299,100,5.0,3.0,2.0,2022-04-11 19:00:20.122,2022-04-11 19:00:20.122,,12.5,,0.0,Mezze Maniche Rigate(Barilla),3.5,,0.0,359.0,porzione,,3JD7PDJoKB,g,0.5,,com.sec.android.app.shealth,71.2,0.27855152,5116b3be-1d03-42c5-93b4-70a4490b2885,1,
68.0,0.0,0.0,0.0,0.0,"2 kcal, per 100g",,default-fatsecret-7554,59,8.0,0.0,0.11,2022-04-01 13:57:43.928,2022-04-01 13:57:43.928,0.0,0.07,0.054,0.0,Caffè Espresso,0.0,0.0,0.0,1.0,tazzina di caffè espresso (60 ml),,3JD7PDJoKB,g,0.054,,com.sec.android.app.shealth,0.0,29.6,33b1ed86-7b4c-474e-8f29-96cb0af38e9a,1,
,0.0,0.0,0.0,,"255 kcal, per 100g",,fatsecret-9981990,100,13.0,2.4,1.18,2022-04-14 08:35:15.007,2022-04-09 13:09:06.054,,8.1,,0.0,Pane di Terni(Interpan),1.75,,0.0,255.0,porzione,,3JD7PDJoKB,g,0.24,,com.sec.android.app.shealth,51.67,0.39215687,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,1,
348.0,0.0,0.0,0.0,79.0,"110 kcal, per 100g",,fatsecret-38560,100,80.0,0.0,2.59,2022-04-14 08:35:15.001,2022-04-13 07:13:12.321,0.83,20.2,0.27,4.4444447,Fettina di Vitello,,,0.84615386,110.0,g,,3JD7PDJoKB,g,0.78,,com.sec.android.app.shealth,0.0,0.91451615,53b3e0f7-81cf-4370-86f8-0162af37f35d,100,
95.0,0.44444445,1.2222222,0.0,4.0,"274 kcal, per 100g",,fatsecret-4182,64,172.0,1.4,7.17,2022-04-10 07:56:05.722,2022-04-10 07:56:05.722,2.091,2.11,3.402,1.5000001,Strudel di Mele,16.48,,0.7692308,175.0,"fetta (quadrato di circa 5 cm - 6,5 cm )",,3JD7PDJoKB,g,1.308,,com.sec.android.app.shealth,26.3,0.36571428,460fbc53-80db-4b97-a829-3ccc6e8a8cab,1,
18.0,0.0,0.11111111,0.0,0.0,"654 kcal, per 100g",,fatsecret-3379,4,0.0,0.3,2.61,2022-04-05 10:51:35.348,2022-04-05 10:51:35.348,0.357,0.61,1.887,0.6666667,Noci,0.1,,0.30769232,26.0,noce,,3JD7PDJoKB,g,0.245,,com.sec.android.app.shealth,0.55,0.1529052,e2c1077f-1cdf-4db6-9a4e-12919c36c371,1,
88.0,12.333333,0.11111111,0.0,36.0,"419 kcal, per 100g",,fatsecret-7466034,60,404.0,1.7,13.12,2022-04-14 08:33:50.540,2022-04-14 08:33:50.540,3.96,4.75,0.997,7.5555553,Cornetto alla Nutella,9.37,,2.0,251.0,cornetto,,3JD7PDJoKB,g,6.619,,com.sec.android.app.shealth,28.46,0.23904383,93607031-6556-4843-9f94-51587fe7c56d,1,
35.0,0.0,0.0,0.0,0.0,"206 kcal, per 160g",,fatsecret-4501,100,365.0,0.4,0.28,2022-04-11 05:59:02.959,2022-04-11 05:59:02.959,0.087,2.66,0.075,6.6111116,Riso Bianco,0.05,,0.7692308,129.0,g,,3JD7PDJoKB,g,0.076,,com.sec.android.app.shealth,27.9,0.7745098,7cafca4c-15c7-4a66-99d9-1ebdab9d8b63,100,
241.0,11.555555,13.666667,0.0,40.0,"3082 kcal, per 2102g",,fatsecret-2550217,133,320.0,1.6,10.46,2022-04-15 12:50:45.983,2022-04-15 12:50:45.983,4.407,6.44,2.535,8.722222,Frittata di Zucchine,2.1,,8.923077,195.0,pezzo,,3JD7PDJoKB,g,2.82,1.868,com.sec.android.app.shealth,19.43,0.6820513,7dd1afa3-0a46-4d42-9a93-cf081c9e5617,1,
243.0,3.1111112,0.0,0.0,83.0,"197 kcal, per 101g",,fatsecret-1641,100,393.0,0.0,7.72,2022-04-15 12:50:45.977,2022-04-05 20:55:26.617,3.005,29.55,1.646,5.8888884,Petto di Pollo,0.0,,1.0769231,195.0,g,,3JD7PDJoKB,g,2.172,,com.sec.android.app.shealth,0.0,0.5121951,74bc5197-e7e9-4b0e-8e27-bca46649a6df,100,
253.0,0.0,2.2222223,0.0,76.0,"346 kcal, per 100g",,fatsecret-35151,100,731.0,0.0,31.33,2022-04-11 19:00:20.122,2022-04-11 19:00:20.122,14.34,14.25,4.03,6.5555553,Salsiccia di Maiale,,,1.3846154,346.0,g,,3JD7PDJoKB,g,11.27,,com.sec.android.app.shealth,0.65,0.28900257,7ca22b78-0dc2-481d-be4b-fec7be9dcc7b,100,
,0.0,0.0,0.0,,"119 kcal, per 1 pezzo (21g)",,fatsecret-1202521,21,66.0,,7.4,2022-04-06 10:41:37.436,2022-04-06 10:41:37.436,,1.8,,0.0,Maxi(Kinder),11.2,,0.0,119.0,porzione,,3JD7PDJoKB,g,4.7,,com.sec.android.app.shealth,11.2,0.1764706,a8f0997f-8c4f-4f0c-ba83-73ec3fd60c4c,1,
110.0,0.0,0.0,0.0,0.0,"271 kcal, per 100g",,default-fatsecret-38793,100,584.0,2.7,3.5,2022-04-05 09:11:15.549,2022-04-05 09:11:15.549,0.812,8.8,1.39,16.0,Pane Italiano,0.83,0.0,8.0,271.0,g,,3JD7PDJoKB,g,0.855,,com.sec.android.app.shealth,50.0,0.36818182,5b4766b3-79fb-4a05-9ff0-1bd3de7f67d9,100,
379.0,0.0,14.444445,0.0,0.0,"87 kcal, per 100g",,fatsecret-7009857,100,4.0,1.8,0.1,2022-04-13 07:13:12.321,2022-04-13 07:13:12.321,0.002,1.87,0.044,1.7222222,Patata Bollita,0.87,,0.3846154,87.0,g,,3JD7PDJoKB,g,0.026,,com.sec.android.app.shealth,20.13,1.1458334,a575bbd7-ce77-4660-840b-925b6045fb1d,100,
297.0,1.7777778,0.5555556,0.0,85.0,"2075 kcal, per 1017g",,fatsecret-2418,108,447.0,0.4,13.08,2022-04-07 19:07:18.343,2022-04-07 19:07:18.343,5.677,17.45,0.473,12.611111,Polpettone,1.75,,4.3076925,220.0,fetta media,,3JD7PDJoKB,g,4.304,,com.sec.android.app.shealth,7.04,0.49142858,7b31831f-d12e-4454-b628-32e5bb79438e,1,
159.0,0.8888889,6.5555553,0.0,3.0,"1326 kcal, per 727g",,fatsecret-24297187,100,218.0,1.4,7.06,2022-04-14 08:35:15.009,2022-04-14 08:35:15.009,4.386,5.52,0.79,5.4444447,Pasta Amatriciana,2.03,,5.5384617,183.0,g,,3JD7PDJoKB,g,1.524,,com.sec.android.app.shealth,23.08,0.5479452,7c55a928-e573-480e-be39-8ef15f0c6ffd,100,
