com.samsung.shealth.exercise,6212007,12
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,title,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
2b461f54-2d54-4fe0-9cf3-54f3f852ee9a.live_data_internal.json,,,108.0,,,,2b461f54-2d54-4fe0-9cf3-54f3f852ee9a.sensing_status.json,4,,,,,,75,,,,,,1080319,,,,2022-04-19 17:15:21.195,1001,,,,111.0,30001,,,123.0,2022-04-19 17:34:52.422,2022-04-19 17:34:52.422,,1.8136994,87.19647,75.0,1570,1211.56,,108.0,116.0,,,UTC+0200,SumqgnI0Fz,,,2b461f54-2d54-4fe0-9cf3-54f3f852ee9a.com.samsung.health.exercise.live_data.json,,1.1214837,com.sec.android.app.shealth,,,,2022-04-19 17:33:21.514,2b461f54-2d54-4fe0-9cf3-54f3f852ee9a,,
5368f59c-5097-42c9-8366-3104825b8202.live_data_internal.json,,,133.0,,,,5368f59c-5097-42c9-8366-3104825b8202.sensing_status.json,4,,,,,,47,,,,,,1518801,,,,2022-04-10 17:21:22.134,1001,,,,108.0,30001,,,117.0,2022-04-10 17:48:10.658,2022-04-10 17:48:10.658,,1.4307885,88.72788,100.0,2246,1667.68,,133.0,103.0,,,UTC+0200,SumqgnI0Fz,,,5368f59c-5097-42c9-8366-3104825b8202.com.samsung.health.exercise.live_data.json,,1.098024,com.sec.android.app.shealth,,,,2022-04-10 17:46:40.935,5368f59c-5097-42c9-8366-3104825b8202,,
d94b3d3c-e632-4f9c-ac49-3cc669b4a9b4.live_data_internal.json,,,87.0,,,,d94b3d3c-e632-4f9c-ac49-3cc669b4a9b4.sensing_status.json,4,,,,,,76,,,,,,898191,,,,2022-04-15 15:26:21.273,1001,,,,114.0,30001,,,132.0,2022-04-15 15:42:48.982,2022-04-15 15:42:48.982,,1.6388888,106.14669,93.0,1589,1232.29,,87.0,123.0,,,UTC+0200,SumqgnI0Fz,,,d94b3d3c-e632-4f9c-ac49-3cc669b4a9b4.com.samsung.health.exercise.live_data.json,,1.3719689,com.sec.android.app.shealth,,,,2022-04-15 15:41:19.464,d94b3d3c-e632-4f9c-ac49-3cc669b4a9b4,,
e1f544ce-f7ff-403d-9dfd-c86c46dd9ae9.live_data_internal.json,,,95.65,,,,e1f544ce-f7ff-403d-9dfd-c86c46dd9ae9.sensing_status.json,4,,,,,,30,,,,,,822163,,,,2022-04-15 17:01:56.490,0,,,,136.0,,,,153.0,2022-04-15 17:15:38.904,2022-04-15 17:15:38.904,,,,93.0,,,,95.65,,,,UTC+0200,SumqgnI0Fz,,,e1f544ce-f7ff-403d-9dfd-c86c46dd9ae9.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-15 17:15:38.231,e1f544ce-f7ff-403d-9dfd-c86c46dd9ae9,,
,,,,1,,,,4,0,0,,,,,,,,,,1000000,,,,2022-04-20 15:33:20.000,1001,,,,,30001,,,,2022-04-20 15:55:00.607,2022-04-20 15:55:00.607,,2.1388888,,,1905,1506.45,,77.58,,,,UTC+0200,3JD7PDJoKB,,,6a20be26-754f-4b9a-b053-d7f45441cbd4.com.samsung.health.exercise.live_data.json,,1.50645,com.sec.android.app.shealth,,,,2022-04-20 15:50:00.000,6a20be26-754f-4b9a-b053-d7f45441cbd4,,
0517ce9b-b7f3-4624-960c-92ca1c0ec3f1.live_data_internal.json,,,116.0,,,,0517ce9b-b7f3-4624-960c-92ca1c0ec3f1.sensing_status.json,4,,,,,,83,,,,,,1181003,,,,2022-04-11 17:40:21.588,1001,,,,115.0,30001,,,129.0,2022-04-11 18:01:33.769,2022-04-11 18:01:33.769,,1.5978334,80.8296,86.0,1591,1222.1,,116.0,121.0,,,UTC+0200,SumqgnI0Fz,,,0517ce9b-b7f3-4624-960c-92ca1c0ec3f1.com.samsung.health.exercise.live_data.json,,1.0347983,com.sec.android.app.shealth,,,,2022-04-11 18:00:02.591,0517ce9b-b7f3-4624-960c-92ca1c0ec3f1,,
b99719e9-8803-4e8b-a5ea-3ce29ecc3def.live_data_internal.json,,,94.0,,,,b99719e9-8803-4e8b-a5ea-3ce29ecc3def.sensing_status.json,4,,,,,,71,,,,,,939930,,,,2022-04-19 20:43:43.848,1001,,,,101.0,30001,,,114.0,2022-04-19 21:00:54.140,2022-04-19 21:00:54.140,,1.5167917,96.198654,75.0,1507,1179.91,,94.0,114.0,,,UTC+0200,SumqgnI0Fz,,,b99719e9-8803-4e8b-a5ea-3ce29ecc3def.com.samsung.health.exercise.live_data.json,,1.255317,com.sec.android.app.shealth,,,,2022-04-19 20:59:23.778,b99719e9-8803-4e8b-a5ea-3ce29ecc3def,,
acbbdff6-e957-4d94-8080-10e808b75fd9.live_data_internal.json,,,803.3885,,,,acbbdff6-e957-4d94-8080-10e808b75fd9.sensing_status.json,1,,,,,1,456,,,,,,4540659,,,,2022-04-15 15:46:06.013,0,,,,146.0,,,,193.0,2022-04-15 17:01:56.143,2022-04-15 17:01:49.268,,,,95.0,,,,803.34094,,,,UTC+0200,SumqgnI0Fz,,,acbbdff6-e957-4d94-8080-10e808b75fd9.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-15 17:01:48.897,acbbdff6-e957-4d94-8080-10e808b75fd9,,
ac274a65-fce2-486e-9994-cb975990f74f.live_data_internal.json,,,63.09,,,,ac274a65-fce2-486e-9994-cb975990f74f.sensing_status.json,4,,,,,,24,,,,,,662761,,,,2022-04-20 17:20:40.217,0,,,,125.0,,,,135.0,2022-04-20 17:31:43.283,2022-04-20 17:31:43.283,,,,113.0,,,,63.09,,,,UTC+0200,SumqgnI0Fz,,,ac274a65-fce2-486e-9994-cb975990f74f.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-20 17:31:42.596,ac274a65-fce2-486e-9994-cb975990f74f,,
60480e47-6a9a-4840-b112-f8841ed39e77.live_data_internal.json,,,120.0,,,,60480e47-6a9a-4840-b112-f8841ed39e77.sensing_status.json,4,,,,,,116,,,,,,1317420,,,,2022-04-12 23:03:44.209,1001,,,,101.0,30001,,,117.0,2022-04-12 23:27:12.550,2022-04-12 23:27:12.550,,1.4784819,93.50093,75.0,2053,1549.41,,120.0,115.0,,,UTC+0200,SumqgnI0Fz,,,60480e47-6a9a-4840-b112-f8841ed39e77.com.samsung.health.exercise.live_data.json,,1.1760942,com.sec.android.app.shealth,,,,2022-04-12 23:25:41.629,60480e47-6a9a-4840-b112-f8841ed39e77,,
