com.samsung.shealth.food_favorite,6212007,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2022-04-11 19:00:20.169,2022-04-11 19:00:20.169,ecb1b2f2-e8de-425c-895d-3441a8edfe84,,ecb1b2f2-e8de-425c-895d-3441a8edfe84,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b9097405-0d32-41c0-b4d8-79b605e91680,7ca22b78-0dc2-481d-be4b-fec7be9dcc7b,
0.0,2,2022-04-09 10:25:22.781,2022-04-09 10:25:22.781,e9a4f1bd-ad9a-47f0-856a-337254785e31,,e9a4f1bd-ad9a-47f0-856a-337254785e31,0.0,3JD7PDJoKB,com.sec.android.app.shealth,58df9226-d94b-48f4-bbc2-49b996045ed4,45e8158a-9d57-479f-a723-841abf0cd535,
0.0,2,2022-04-11 05:59:02.996,2022-04-11 05:59:02.996,a45a95af-91a9-4860-a709-1bd214078e8d,,a45a95af-91a9-4860-a709-1bd214078e8d,0.0,3JD7PDJoKB,com.sec.android.app.shealth,e1287365-7c22-49c2-95b2-3b0636c45f68,609f8514-84b9-4c69-adff-3b24489e6344,
0.0,2,2022-04-11 19:00:55.430,2022-04-11 19:00:55.430,af9ead2f-91dc-4e3b-9824-712468caa8bc,,af9ead2f-91dc-4e3b-9824-712468caa8bc,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0aeb3984-d077-4ad2-a85d-9470c17300fe,c1ad1a8e-fbbc-4ca2-aad6-f3de727fe894,
0.0,2,2022-04-09 13:09:06.100,2022-04-09 13:09:06.100,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,0.0,3JD7PDJoKB,com.sec.android.app.shealth,41ae10b7-b08c-43f1-a342-a145dd087f0f,9b06579a-b583-480a-8ef0-2aa163724242,
0.0,2,2022-04-11 18:49:04.627,2022-04-11 18:49:04.627,b2c6433f-f3cc-4cb2-a747-e0f700382b4c,,b2c6433f-f3cc-4cb2-a747-e0f700382b4c,0.0,3JD7PDJoKB,com.sec.android.app.shealth,c1e5dbfd-0108-406a-a63b-82d950dbcad2,d3af660d-01e7-46ac-8304-ffbef9aaa791,
0.0,2,2022-04-13 07:11:02.502,2022-04-13 07:11:02.502,dbf0e0fc-993d-4f09-afe0-ba5e7be7f4c6,,dbf0e0fc-993d-4f09-afe0-ba5e7be7f4c6,0.0,3JD7PDJoKB,com.sec.android.app.shealth,1eb48ae4-a8b2-4056-96cc-23300319b27f,df129ce4-1197-4c60-8a5c-dac3170fc367,
0.0,2,2022-04-10 07:56:34.428,2022-04-10 07:56:34.428,7992935c-b249-4be7-8135-fdd08c39337a,,7992935c-b249-4be7-8135-fdd08c39337a,0.0,3JD7PDJoKB,com.sec.android.app.shealth,bc826e1c-5d06-4c2a-a9c2-36d2640f91c9,bc7edd2f-bc04-4d54-9a7f-e7e72638610f,
0.0,2,2022-04-11 19:00:20.169,2022-04-11 19:00:20.169,ecb1b2f2-e8de-425c-895d-3441a8edfe84,,ecb1b2f2-e8de-425c-895d-3441a8edfe84,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6e5200b7-c642-4394-8636-4080af9ee534,2d86d69b-8956-44ee-8eac-bbb646cc8b7f,
0.0,2,2022-04-13 23:37:34.871,2022-04-13 23:37:34.871,42cc2eb4-01d4-43c4-8f45-46061dbfa455,,42cc2eb4-01d4-43c4-8f45-46061dbfa455,0.0,3JD7PDJoKB,com.sec.android.app.shealth,3fc6b949-1b3f-4817-a0f5-11195189a417,8a05eb0b-3cf9-4650-a98d-d464cb34cedc,
0.0,2,2022-04-10 12:32:40.837,2022-04-10 12:32:40.837,f6442ba9-6f3c-4a32-bcd9-2d384ae1aa15,,f6442ba9-6f3c-4a32-bcd9-2d384ae1aa15,0.0,3JD7PDJoKB,com.sec.android.app.shealth,a18fa267-f81f-44db-a71b-15c13a6aabe5,18f455a7-dd1d-44d7-ab2a-1fa6a3c840f2,
0.0,2,2022-04-11 19:00:55.430,2022-04-11 19:00:55.430,af9ead2f-91dc-4e3b-9824-712468caa8bc,,af9ead2f-91dc-4e3b-9824-712468caa8bc,0.0,3JD7PDJoKB,com.sec.android.app.shealth,caede24a-4e01-4ff4-93af-7944a95f8e6b,f85766ad-cc99-47e5-b0df-ed91d1ce001f,
0.0,2,2022-04-14 08:33:50.573,2022-04-14 08:33:50.573,4e630587-746b-4373-b05e-b4a91997b337,,4e630587-746b-4373-b05e-b4a91997b337,0.0,3JD7PDJoKB,com.sec.android.app.shealth,2894d423-d979-472e-b18f-5e121ec38117,93607031-6556-4843-9f94-51587fe7c56d,
0.0,2,2022-04-11 05:59:02.996,2022-04-11 05:59:02.996,a45a95af-91a9-4860-a709-1bd214078e8d,,a45a95af-91a9-4860-a709-1bd214078e8d,0.0,3JD7PDJoKB,com.sec.android.app.shealth,f05af087-33e0-4f37-bd39-230298291683,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,
0.0,2,2022-04-13 07:11:02.503,2022-04-13 07:11:02.503,dbf0e0fc-993d-4f09-afe0-ba5e7be7f4c6,,dbf0e0fc-993d-4f09-afe0-ba5e7be7f4c6,0.0,3JD7PDJoKB,com.sec.android.app.shealth,ffb7eb42-3c22-44d0-9076-9946d60ac55b,1a81415c-5dad-4cb5-bcee-d59c6cef30af,
0.0,2,2022-04-14 14:28:44.712,2022-04-14 14:28:44.712,fb805464-063c-47a6-817f-52fa42936a0b,,fb805464-063c-47a6-817f-52fa42936a0b,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0e18f0fc-2191-4bfd-91f6-ad2cb764ef1a,90ad06b0-b4eb-44da-96f8-fc89c8fc326b,
0.0,2,2022-04-11 18:49:04.627,2022-04-11 18:49:04.627,b2c6433f-f3cc-4cb2-a747-e0f700382b4c,,b2c6433f-f3cc-4cb2-a747-e0f700382b4c,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6bdc9468-1221-4954-8473-80d41c627b86,7d530bef-e469-414b-b137-d2f1481d3729,
0.0,2,2022-04-14 08:31:51.204,2022-04-14 08:31:51.204,88c3ebae-5d98-4846-86d7-45be5acb81f8,,88c3ebae-5d98-4846-86d7-45be5acb81f8,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6be45571-0cc2-43c0-98a8-f5b4b86f9274,ebd28148-bed9-4df0-92f2-4c945f587dcd,
0.0,2,2022-04-15 09:35:39.556,2022-04-15 09:35:39.556,e7f790ce-9d53-4c38-a414-de4ca4a47bb6,,e7f790ce-9d53-4c38-a414-de4ca4a47bb6,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0726ea5b-8786-445b-a871-eaff29abbcde,ca1ba696-0518-4644-b984-122a2996e389,
0.0,2,2022-04-11 19:00:20.169,2022-04-11 19:00:20.169,ecb1b2f2-e8de-425c-895d-3441a8edfe84,,ecb1b2f2-e8de-425c-895d-3441a8edfe84,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b4cbdf57-5c05-4ba4-b704-4da443eb7163,c1ad1a8e-fbbc-4ca2-aad6-f3de727fe894,
0.0,2,2022-04-14 08:35:15.032,2022-04-14 08:35:15.032,4ff41897-5034-4e8c-b77d-8bd2526c7b94,,4ff41897-5034-4e8c-b77d-8bd2526c7b94,0.0,3JD7PDJoKB,com.sec.android.app.shealth,2333620f-c5e2-43d2-a8ad-8246b9377e3d,7c55a928-e573-480e-be39-8ef15f0c6ffd,
0.0,2,2022-04-15 13:12:01.382,2022-04-15 13:12:01.382,29976cd0-229d-4703-9d27-5ece94b4769f,,29976cd0-229d-4703-9d27-5ece94b4769f,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b2744745-9792-47af-b356-c7b92340e83e,5d688850-cbec-4c70-b3e1-7a8ef5eb6909,
0.0,2,2022-04-12 10:47:00.797,2022-04-12 10:47:00.797,50fe52cd-a274-4f4d-ab3f-fd0f8ee0485a,,50fe52cd-a274-4f4d-ab3f-fd0f8ee0485a,0.0,3JD7PDJoKB,com.sec.android.app.shealth,401c81bb-6ef2-44b7-b556-4a1383e734cf,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
