com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2022-04-01 13:57:47.547,2022-04-01 13:57:47.547,-1,0,0,0.0,0.0,2b7102d0-53ac-4bf1-bc56-85e055400160.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,2b7102d0-53ac-4bf1-bc56-85e055400160,1648252800000,
0,0,90,0,2022-04-01 13:57:47.647,2022-04-01 13:57:47.647,-1,0,0,0.0,0.0,7e7dabc1-0ac2-4687-80fe-4ad8a988198b.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,7e7dabc1-0ac2-4687-80fe-4ad8a988198b,1648684800000,
0,0,90,0,2022-04-01 13:57:47.000,2022-04-01 13:57:47.000,-1,0,0,0.0,0.0,d57f6a8f-9854-42bc-a16b-324ea82bb20b.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,d57f6a8f-9854-42bc-a16b-324ea82bb20b,1646524800000,
0,0,90,0,2022-04-01 13:57:47.617,2022-04-01 13:57:47.617,-1,0,0,0.0,0.0,0b0ef868-5d34-4e95-807b-fc015c5f3874.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,0b0ef868-5d34-4e95-807b-fc015c5f3874,1648512000000,
0,0,90,0,2022-04-01 13:57:47.255,2022-04-01 13:57:47.255,-1,0,0,0.0,0.0,1bdf6526-2a89-4b6c-8286-a4da903c56dd.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,1bdf6526-2a89-4b6c-8286-a4da903c56dd,1647216000000,
0,0,90,0,2022-04-01 13:57:47.430,2022-04-01 13:57:47.430,-1,0,0,0.0,0.0,f760472a-913a-4761-904e-fb05ecd21389.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,f760472a-913a-4761-904e-fb05ecd21389,1647820800000,
0,0,90,0,2022-04-01 13:57:47.347,2022-04-01 13:57:47.347,-1,0,0,0.0,0.0,d66d92e0-ad34-4c11-870e-dce6b1b077a0.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,d66d92e0-ad34-4c11-870e-dce6b1b077a0,1647561600000,
0,0,90,0,2022-04-01 13:57:47.217,2022-04-01 13:57:47.217,-1,0,0,0.0,0.0,8250d4c0-a153-4d27-8f03-17203a7fc251.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,8250d4c0-a153-4d27-8f03-17203a7fc251,1647043200000,
0,0,90,0,2022-04-01 13:57:47.186,2022-04-01 13:57:47.186,-1,0,0,0.0,0.0,16408384-ba70-4d68-bc4a-8e4b5b095880.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,16408384-ba70-4d68-bc4a-8e4b5b095880,1646956800000,
0,0,90,0,2022-04-01 13:57:47.029,2022-04-01 13:57:47.029,-1,0,0,0.0,0.0,fae3d40e-5061-49ad-a2f4-01ca79d2b8d0.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,fae3d40e-5061-49ad-a2f4-01ca79d2b8d0,1646611200000,
