com.samsung.health.food_intake,6212007,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2022-04-14 10:00:00.000,50.0,,2022-04-14 14:30:00.357,2022-04-14 14:30:00.357,100002,Patate al Forno,120002,46.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,8dedf70f-e3e2-4a17-bbed-d5c5102bbc07,2b876055-4ea0-4a5a-bb79-b45e71ea6222,
2022-04-10 12:28:49.218,2.0,,2022-04-10 12:32:40.812,2022-04-10 12:32:40.812,100002,Pomodori Gratinati,120001,208.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,c015a48f-10e2-4348-98e1-7a7d9a3e846b,6daf01cd-cfe4-4d6d-b760-e00276dbfdea,
2022-04-15 13:00:00.000,1.0,,2022-04-15 18:11:18.822,2022-04-15 18:11:18.822,100005,Banana,120001,105.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,3d43be25-435c-4bc0-b45c-1503acb4c2b0,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
2022-04-13 16:00:00.000,80.0,,2022-04-14 14:28:44.685,2022-04-14 14:28:44.685,100003,Barattolino 5 Stelle Croccantino(Sammontana),120002,194.4,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,43017c43-6f81-49ba-a434-d86a42abf379,90ad06b0-b4eb-44da-96f8-fc89c8fc326b,
2022-04-10 16:00:00.000,0.7,,2022-04-11 05:59:02.962,2022-04-11 05:59:02.962,100003,Mela,120001,50.4,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,c5d2c6e5-4e9c-4a16-9b1c-02a9c7b3078c,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,
2022-04-15 19:49:47.416,0.5,,2022-04-15 19:53:56.077,2022-04-15 19:53:56.077,100003,Pizzetta,120001,116.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,ae326094-9021-401d-84ed-c59c99d0982f,d4ed5b0a-3f72-4cda-a1bc-176d595f0169,
2022-04-05 09:26:44.338,125.0,,2022-04-05 09:36:30.783,2022-04-05 09:36:30.783,100001,Succo Mela Banana(Yoga),120002,76.25,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,3bda6000-f289-4749-9253-018d2e2fd75c,45e8158a-9d57-479f-a723-841abf0cd535,
2022-04-15 09:34:55.846,125.0,,2022-04-15 09:35:39.527,2022-04-15 09:35:39.527,100001,Yogurt Intero Bianco(Pam Panorama),120002,86.25,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,7e36347b-e207-4b2d-a147-6aa394ae5092,ca1ba696-0518-4644-b984-122a2996e389,
2022-04-11 10:00:00.000,2.0,,2022-04-11 18:49:04.596,2022-04-11 18:49:04.596,100002,Pizza Rustica,120001,530.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,fb24caf2-5531-4e8b-8ca0-ef8d51561ff5,682ef5e1-d9be-4e04-b3fa-03320df162b2,
2022-04-05 13:00:00.000,1.0,,2022-04-05 20:53:38.399,2022-04-05 20:53:38.399,100005,Banana,120001,105.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d48e4d90-4a49-4db3-a81a-293385454c04,73d0f8b5-65ee-4bd0-876b-d078498747b6,
2022-04-06 07:20:06.156,125.0,,2022-04-06 07:21:15.768,2022-04-06 07:21:15.768,100001,Succo Mela Banana(Yoga),120002,76.25,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,6d097659-74a9-428f-a534-1427b6afad73,45e8158a-9d57-479f-a723-841abf0cd535,
2022-04-15 13:00:00.000,2.0,,2022-04-15 18:11:18.822,2022-04-15 18:11:18.822,100005,Latte di Mandorla(Condorelli),120001,180.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,2768090e-0a49-4a4e-80ea-0abb42f927b7,2289b6bb-1df4-45fe-9950-43214dc45793,
2022-04-11 18:57:43.781,1.0,,2022-04-11 19:00:55.410,2022-04-11 19:00:55.410,100003,Uovo Strapazzato,120001,99.5,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,e3d8fb12-1ee6-49be-9b3f-351bc920f4cf,f85766ad-cc99-47e5-b0df-ed91d1ce001f,
2022-04-06 10:35:34.381,1.0,,2022-04-06 10:41:37.459,2022-04-06 10:41:37.459,100002,Maxi(Kinder),120001,119.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,c9a1f23e-fae7-4c86-90d1-e36357404b3b,a8f0997f-8c4f-4f0c-ba83-73ec3fd60c4c,
2022-04-15 19:49:47.416,50.0,,2022-04-15 19:53:56.077,2022-04-15 19:53:56.077,100003,Insalata Caprese,120002,88.5,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,31a0e03a-7a29-45be-88fb-a1f3166e2c26,b205ae7d-e5a1-4b7a-b711-16060181e464,
2022-04-12 10:00:00.000,60.0,,2022-04-13 07:10:15.441,2022-04-13 07:10:15.441,100002,Fettina Impanata,120002,160.2,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,f0e5b4b8-d6bb-4015-bb41-0083e558425d,2d86d69b-8956-44ee-8eac-bbb646cc8b7f,
2022-04-07 19:06:49.552,3.0,,2022-04-07 19:07:18.346,2022-04-07 19:07:18.346,100003,Polpettone,120001,660.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,f522fb08-04c8-428d-8e61-3f0bfaeee4d6,7b31831f-d12e-4454-b628-32e5bb79438e,
2022-04-08 09:04:06.653,1.0,,2022-04-08 09:06:09.869,2022-04-08 09:06:09.869,100004,Nettare di Mela e Banana(Primia),120001,65.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,543c9144-ebc2-4273-b791-f90dcc239cda,dd8d1d67-1535-4793-aa83-8a126ff4b3df,
2022-04-05 08:00:00.000,3.0,,2022-04-05 10:51:35.360,2022-04-05 10:51:35.360,100004,Noci,120001,78.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,0fe78228-ae2e-42f7-a279-e897a61d6952,e2c1077f-1cdf-4db6-9a4e-12919c36c371,
2022-04-12 16:00:00.000,136.0,,2022-04-13 07:13:12.324,2022-04-13 07:13:12.324,100003,Patata Bollita,120002,118.32,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,67e7244e-8dae-43c5-8d7c-2f4bfa25e8d7,a575bbd7-ce77-4660-840b-925b6045fb1d,
2022-04-08 16:00:00.000,800.0,,2022-04-09 10:24:32.812,2022-04-09 10:23:36.763,100003,Alette di Pollo Piccanti(Del Campo),120002,1584.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,666cf27f-91b0-49cf-bd97-153630266334,2bd06491-645b-41ea-8dde-9d0080c3a397,
2022-04-09 08:00:00.000,80.0,,2022-04-09 11:07:03.991,2022-04-09 11:07:03.991,100004,Colomba,120002,174.4,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,41b5fbb0-2172-428d-a214-dcb7e8b5b198,87e9771c-1090-433a-8682-07532803f02d,
2022-04-14 08:31:59.197,1.0,,2022-04-14 08:33:50.543,2022-04-14 08:33:50.543,100001,Latte al Cioccolato,120001,190.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,4423cff7-831c-442a-af26-ef4f432f912c,966315bc-36f1-4b70-98f5-25828c0a333f,
2022-04-05 16:00:00.000,30.0,,2022-04-05 20:55:26.633,2022-04-05 20:55:26.633,100003,Pizza Bianca,120002,111.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,ed490f37-1488-4c23-8cee-c8614e1b44de,5afbf8e8-9cb6-4844-a297-8632748f4738,
2022-04-09 16:00:00.000,100.0,,2022-04-10 07:56:05.728,2022-04-10 07:56:05.728,100003,Pasta Panna e Salmone,120002,275.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,0425f5ed-538d-4abe-a35a-2f6994cfcda9,2690c9a7-34b5-4855-8f95-d62d30fa3192,
2022-04-06 10:35:34.381,3.0,,2022-04-06 10:39:15.738,2022-04-06 10:39:15.738,100002,Prosciutto Crudo,120001,54.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,ce68fd32-662e-42b1-b515-c7387116c060,7d530bef-e469-414b-b137-d2f1481d3729,
2022-04-13 16:00:00.000,100.0,,2022-04-14 14:28:44.685,2022-04-14 14:28:44.685,100003,Spinaci,120002,23.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,4b4ffd33-e4e8-49ef-9e67-b7e7d9a52214,fabbebc4-f905-4018-8a6c-1466725e2627,
2022-04-10 07:56:23.588,3.0,,2022-04-10 08:00:07.587,2022-04-10 08:00:07.587,100001,Lingue di Gatto(Colussi),120001,45.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,a010d3ef-3e56-4ae7-a882-ead1c2cd4efd,73b5a190-0efc-4247-852c-35ef301ac2b1,
2022-04-10 16:00:00.000,80.0,,2022-04-11 05:59:02.962,2022-04-11 05:59:02.962,100003,Riso Bianco,120002,103.2,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d7c56da3-ebad-4417-a905-ff64cf0bef7a,7cafca4c-15c7-4a66-99d9-1ebdab9d8b63,
2022-04-15 09:34:55.846,60.0,,2022-04-15 09:35:54.548,2022-04-15 09:35:39.527,100001,"Protein Berries, Granola & Seeds(Kellogg's)",120002,222.6,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,86361ea0-1711-4935-8ac0-e05bd7b384ba,1a81415c-5dad-4cb5-bcee-d59c6cef30af,
