com.samsung.health.floors_climbed,6212007,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-10 15:44:47.000,,2022-04-10 15:45:41.903,2022-04-10 15:45:41.903,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-10 15:44:57.000,4551f894-0565-4138-9228-cea92e072490,
2022-04-25 12:46:55.000,,2022-04-25 12:49:48.118,2022-04-25 12:49:48.118,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-25 12:47:02.000,305f5899-7478-4952-b3b8-7a89123509ce,
2022-04-28 18:11:20.000,,2022-04-28 18:15:08.727,2022-04-28 18:15:08.727,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-28 18:11:27.000,d6514a72-88cd-4272-8033-f0f76eb4e387,
2022-04-15 17:06:14.000,,2022-04-15 17:06:58.605,2022-04-15 17:06:58.605,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-15 17:06:27.000,be31c5cc-9ae0-4734-9883-1ef465820735,
2022-04-28 12:31:47.000,,2022-04-28 12:34:19.908,2022-04-28 12:32:13.104,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-28 12:32:14.000,1d8c8279-4649-440a-8a37-279594d0e0a5,
2022-05-03 12:29:47.000,,2022-05-03 12:30:09.647,2022-05-03 12:30:07.556,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-03 12:30:08.001,3f061d5c-4fe5-48ef-abb9-8939c9e8a9c0,
2022-04-17 11:55:47.999,,2022-04-17 12:01:11.926,2022-04-17 12:01:11.926,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-17 11:55:52.999,5bca4f7d-d1b1-4358-a01b-fa19ed284b81,
2022-05-02 23:30:35.000,,2022-05-02 23:31:04.559,2022-05-02 23:31:04.339,3.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-02 23:30:51.001,f75aaef0-fa9b-42c6-b5ea-1d6432c6ffee,
2022-05-06 09:08:18.999,,2022-05-06 09:08:41.959,2022-05-06 09:08:41.959,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-06 09:08:40.999,9ce78169-56ac-4ed9-b36d-89913ff6066c,
2022-04-20 13:03:35.001,,2022-04-20 13:05:20.440,2022-04-20 13:05:20.440,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-20 13:03:42.001,1a4ef513-e5ca-4a35-ad84-9acd5487cb1f,
