com.samsung.health.sleep_stage,6212007,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-08 04:36:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.665,2022-04-08 05:51:03.665,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 04:45:00.000,51fbf900-662a-49f0-9509-a39aac2b68b2,
2022-04-08 05:12:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.666,2022-04-08 05:51:03.666,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 05:13:00.000,f8e26fe4-49fd-4061-8953-e1165d6408b0,
2022-04-08 00:46:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.661,2022-04-08 05:51:03.661,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 01:03:00.000,7ed0891b-59b7-46a3-95bf-9e0aa123ded1,
2022-04-09 20:32:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,,2022-04-09 23:17:33.730,2022-04-09 23:17:33.730,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-09 20:48:00.000,8828d57f-a7c0-4b0c-ba13-abc048130415,
2022-04-09 21:30:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,,2022-04-09 23:17:33.731,2022-04-09 23:17:33.731,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-09 21:47:00.000,e22154f6-5d0f-47c6-baf1-1cfdd6bfb92b,
2022-04-08 01:34:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.662,2022-04-08 05:51:03.662,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 01:35:00.000,3f170600-12c7-43b1-822b-fbe491afe8bd,
2022-04-09 22:56:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,,2022-04-09 23:17:33.732,2022-04-09 23:17:33.732,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-09 22:57:00.000,88a99213-cb42-4bf9-994b-5e7464beba8c,
2022-04-08 02:44:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.663,2022-04-08 05:51:03.663,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 02:52:00.000,1f9a14e9-a205-46df-938e-22d63df75fcb,
2022-04-11 13:26:00.000,2c7a20e7-ad88-43b9-b56e-c683a0e601cb,,2022-04-11 15:49:12.498,2022-04-11 15:49:12.498,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-11 13:57:00.000,6e49345a-2ff7-4a99-9a13-a8811443b816,
2022-04-13 13:21:00.000,51be76e8-da94-42c0-99be-a95cabdc8eb4,,2022-04-13 14:42:20.314,2022-04-13 14:42:20.314,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-13 13:39:00.000,ede2b402-ddc1-4988-bea6-4fc3209461b8,
2022-04-08 03:44:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.664,2022-04-08 05:51:03.664,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 04:27:00.000,3b34c56b-c4a9-4d8b-9078-8977d93d6922,
2022-04-13 14:07:00.000,51be76e8-da94-42c0-99be-a95cabdc8eb4,,2022-04-13 14:42:20.316,2022-04-13 14:42:20.316,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-13 14:12:00.000,a29495c2-a1ff-4943-8d9f-e6a6a3b18f11,
2022-04-08 04:45:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.665,2022-04-08 05:51:03.665,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 04:46:00.000,8e3ad53f-0bb3-45be-9c7d-36b17516870c,
2022-04-14 13:20:00.000,8fc64f87-afc5-4a4c-9b01-726721eeb6c6,,2022-04-14 14:27:24.591,2022-04-14 14:27:24.591,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-14 13:32:00.000,75b7158b-cff7-43aa-aee2-b8e1adc1e1a1,
2022-04-16 15:34:00.000,6b397e4b-d423-4c83-b46c-f15a28b164d8,,2022-04-16 17:14:16.730,2022-04-16 17:14:16.730,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-16 15:47:00.000,b4c38734-c01f-4584-b0f0-e9db7110e322,
2022-04-08 05:13:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.666,2022-04-08 05:51:03.666,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 05:18:00.000,1c3b0102-0179-4ba4-a181-cef4a9e81f2a,
2022-04-16 16:19:00.000,6b397e4b-d423-4c83-b46c-f15a28b164d8,,2022-04-16 17:14:16.734,2022-04-16 17:14:16.734,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-16 16:32:00.000,591135b5-556e-4597-bb5e-68bc2fa171d3,
2022-04-17 13:03:00.000,de2b8434-64f0-4176-8d66-6a6f86c1f732,,2022-04-17 15:30:55.132,2022-04-17 15:30:55.132,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-17 13:11:00.000,96dd8934-983b-4107-a053-0a7ebebbb9c7,
