com.samsung.shealth.calories_burned.details,6212007,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,96703bab-ad3d-4e2b-b462-0fbcfd93f27f.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.336,2022-04-05 09:11:18.893,0.0,3JD7PDJoKB,com.sec.android.app.shealth,96703bab-ad3d-4e2b-b462-0fbcfd93f27f,1648166400000,
,,c00cf1f7-ffef-4f81-8433-394e82ee7352.extra_data.json,0.0,0,1847.6776,2022-04-23 00:42:34.679,2022-04-05 09:11:18.918,0.0,3JD7PDJoKB,com.sec.android.app.shealth,c00cf1f7-ffef-4f81-8433-394e82ee7352,1648425600000,
,,1de9cba8-18cf-4d3b-bb34-8b684a73011f.extra_data.json,0.0,0,1847.6776,2022-04-23 00:42:34.347,2022-04-05 09:11:18.911,0.0,3JD7PDJoKB,com.sec.android.app.shealth,1de9cba8-18cf-4d3b-bb34-8b684a73011f,1648339200000,
,,55748f6c-a255-4cfc-8579-4c90837c51d7.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:54.333,2022-04-05 09:11:18.978,0.0,3JD7PDJoKB,com.sec.android.app.shealth,55748f6c-a255-4cfc-8579-4c90837c51d7,1649030400000,
,,a76bed96-82a6-4596-9c83-dc3815aba83c.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:54.084,2022-04-05 09:11:18.947,0.0,3JD7PDJoKB,com.sec.android.app.shealth,a76bed96-82a6-4596-9c83-dc3815aba83c,1648684800000,
,,b9d25f75-96aa-4162-bfde-6a107725ded6.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.314,2022-04-01 13:57:47.822,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b9d25f75-96aa-4162-bfde-6a107725ded6,1647907200000,
,,84709051-e69c-4a76-a621-20fde69f529c.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:54.310,2022-04-05 09:11:18.970,0.0,3JD7PDJoKB,com.sec.android.app.shealth,84709051-e69c-4a76-a621-20fde69f529c,1648944000000,
,,6db9b71b-158b-41c3-886d-c86fd151dabe.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.263,2022-04-01 13:57:47.756,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6db9b71b-158b-41c3-886d-c86fd151dabe,1647302400000,
,,1e78182d-9d2d-4622-9339-85ba8fa5829a.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:54.268,2022-04-05 09:11:18.964,0.0,3JD7PDJoKB,com.sec.android.app.shealth,1e78182d-9d2d-4622-9339-85ba8fa5829a,1648857600000,
,,2bbddb2f-8430-4d36-a449-20bbd6d05ac0.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.247,2022-04-01 13:57:47.741,0.0,3JD7PDJoKB,com.sec.android.app.shealth,2bbddb2f-8430-4d36-a449-20bbd6d05ac0,1647129600000,
,,90d8260f-2bbb-42d7-99b1-ff0bb9e601e9.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.336,2022-04-01 13:57:47.844,0.0,3JD7PDJoKB,com.sec.android.app.shealth,90d8260f-2bbb-42d7-99b1-ff0bb9e601e9,1648166400000,
,,7f98cdf6-0fc1-4ad9-96e1-c019b7851779.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.308,2022-04-01 13:57:47.815,0.0,3JD7PDJoKB,com.sec.android.app.shealth,7f98cdf6-0fc1-4ad9-96e1-c019b7851779,1647820800000,
,,8bdbdf71-064a-4de5-8241-2323e81b36a4.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:54.084,2022-04-01 13:57:47.900,0.0,3JD7PDJoKB,com.sec.android.app.shealth,8bdbdf71-064a-4de5-8241-2323e81b36a4,1648684800000,
