com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2022-04-11 19:00:20.135,2022-04-11 19:00:20.135,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,7af3a183-8f78-4c01-84bd-ae4c7442633a,7ca22b78-0dc2-481d-be4b-fec7be9dcc7b,0.0,
0.0,2022-04-14 08:35:15.019,2022-04-13 07:13:12.327,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,d3db5dab-6f85-4f7c-9cdc-07668557305c,53b3e0f7-81cf-4370-86f8-0162af37f35d,1.0,
0.0,2022-04-07 19:07:18.349,2022-04-07 19:07:18.349,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,76bb4fbf-d604-4323-8e3d-89571d6cc43e,7b31831f-d12e-4454-b628-32e5bb79438e,0.0,
0.0,2022-04-13 07:13:12.332,2022-04-13 07:13:12.332,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,a3ab29bb-a781-4584-986c-2b911eb7fb72,a575bbd7-ce77-4660-840b-925b6045fb1d,0.0,
0.0,2022-04-14 08:33:50.560,2022-04-14 08:33:50.560,0.0,0.0,1.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,c6608ebf-dea6-4aca-bad4-8308efb5ac0d,93607031-6556-4843-9f94-51587fe7c56d,0.0,
0.0,2022-04-08 10:47:00.256,2022-04-08 10:47:00.256,1.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,3478f637-045e-4040-a608-bda0e13615d1,98858539-395c-4218-b0a7-a76f0fc094d3,0.0,
0.0,2022-04-14 08:35:15.016,2022-04-14 08:35:15.016,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,55bb3760-43d2-4134-bb65-66487f5914d7,7c55a928-e573-480e-be39-8ef15f0c6ffd,1.0,
0.0,2022-04-15 12:50:45.997,2022-04-15 12:50:45.997,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,31432db0-dd17-4e87-8921-0b8ce97581a4,7dd1afa3-0a46-4d42-9a93-cf081c9e5617,1.0,
0.0,2022-04-09 13:09:06.070,2022-04-09 13:09:06.070,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,a922ada5-e0c9-474d-8c7a-c9e4d8ef638c,86b24b65-a40a-436d-9863-8af1343c4266,1.0,
0.0,2022-04-10 08:00:07.590,2022-04-10 07:56:05.737,0.0,1.0,1.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,d3fa0174-fbbf-4151-8448-62e8c5275cbd,73b5a190-0efc-4247-852c-35ef301ac2b1,0.0,
0.0,2022-04-10 12:32:40.821,2022-04-10 12:32:40.821,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,b42141f8-3acd-4fbb-a62b-6bf91313d21d,85821a1a-64c2-4047-a8d9-4a5d728491cd,1.0,
0.0,2022-04-15 19:53:56.099,2022-04-15 13:12:01.359,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,42d322e3-020c-44b6-a29d-670222a4de4e,5d688850-cbec-4c70-b3e1-7a8ef5eb6909,1.0,
0.0,2022-04-06 10:39:15.760,2022-04-06 10:39:15.760,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,8adbbaeb-931e-483b-8a33-f1ba435bf323,ce7b1ab0-5591-4b59-a398-d1fa84ce3fa6,1.0,
0.79,2022-04-05 09:11:15.580,2022-04-05 09:11:15.580,0.79,0.79,0.79,3JD7PDJoKB,com.sec.android.app.shealth,0.79,0ad0a5af-3159-4551-a11e-9dab2cbbd8ab,5b4766b3-79fb-4a05-9ff0-1bd3de7f67d9,0.79,
0.0,2022-04-11 18:49:04.602,2022-04-11 18:49:04.602,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,c78efd53-2131-4154-b40c-fe6560498b0f,d3af660d-01e7-46ac-8304-ffbef9aaa791,1.0,
0.0,2022-04-13 07:11:02.485,2022-04-07 08:15:28.158,0.0,0.0,4.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,1739641f-0cae-4be6-ae55-b7ec061ec0c5,bc7edd2f-bc04-4d54-9a7f-e7e72638610f,0.0,
0.0,2022-04-12 07:14:07.877,2022-04-12 07:14:07.877,0.0,0.0,1.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,ab9e9357-1c95-42a4-b4db-a72f7f3e5f5e,ddfbe850-ae68-4a67-af3a-f48a5ea89a9b,0.0,
0.75,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.75,0.75,0.75,3JD7PDJoKB,com.sec.android.app.shealth,0.75,85ea444f-f550-4ccf-baf2-583fe84aa098,33b1ed86-7b4c-474e-8f29-96cb0af38e9a,0.75,
0.0,2022-04-15 09:35:39.540,2022-04-08 06:35:54.668,0.0,0.0,6.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,86349429-8238-4f0d-b469-730e8ee1d483,1a81415c-5dad-4cb5-bcee-d59c6cef30af,0.0,
0.0,2022-04-14 14:30:00.370,2022-04-14 08:31:51.183,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,5411accd-f8aa-4230-82db-a792e6ae250b,2b876055-4ea0-4a5a-bb79-b45e71ea6222,1.0,
